id,name,name1,active,size,rank
0010101,標津断層帯,-,-,M7.7程度以上,Xランク
0020101,十勝平野断層帯,主部,-,M8.0程度,Aランク
0020201,十勝平野断層帯,光地園断層,-,M7.2程度,Aランク
0030101,富良野断層帯,西部,-,M7.2程度,Zランク
0030201,富良野断層帯,東部,-,M7.2程度,Zランク
0040101,増毛山地東縁・沼田-砂川付近の断層帯,増毛山地東縁断層帯,-,M7.8程度,Aランク
0040201,増毛山地東縁・沼田-砂川付近の断層帯,沼田-砂川付近の断層帯,-,M7.5程度,Xランク
0050101,当別断層,-,-,M7.0程度,A*ランク
0060101,石狩低地東縁断層帯,主部,-,M7.9程度,Zランク
0060201,石狩低地東縁断層帯,南部,-,M7.7程度以上,Aランク
0070101,黒松内低地断層帯,-,-,M7.3程度以上,S*ランク
0080101,函館平野西縁断層帯,-,-,M7.0-7.5程度,A*ランク
0090101,青森湾西岸断層帯,-,-,M7.3程度,Aランク
0100101,津軽山地西縁断層帯,北部,-,M6.8-7.3程度,Xランク
0100201,津軽山地西縁断層帯,南部,-,M7.1-7.3程度,Xランク
0110101,折爪断層,-,-,最大M7.6程度,Xランク
0120101,能代断層帯,-,-,M7.1程度以上,Zランク
0130101,北上低地西縁断層帯,-,-,M7.8程度,Zランク
0140101,雫石盆地西縁-真昼山地東縁断層帯,雫石盆地西縁断層帯,-,M6.9程度,Xランク
0140201,雫石盆地西縁-真昼山地東縁断層帯,真昼山地東縁断層帯,北部,M6.7-7.0程度,Zランク
0140202,雫石盆地西縁-真昼山地東縁断層帯,真昼山地東縁断層帯,南部,M6.9-7.1程度,Xランク
0150101,横手盆地東縁断層帯,-,北部,M7.2程度,Zランク
0150102,横手盆地東縁断層帯,-,南部,M7.3程度,Xランク
0160101,北由利断層,-,-,M7.3程度,A*ランク
0170101,新庄盆地断層帯,東部,-,M7.1程度,S*ランク
0170201,新庄盆地断層帯,西部,-,M6.9程度,Aランク
0180101,山形盆地断層帯,-,北部,M7.3程度,S*ランク
0180102,山形盆地断層帯,-,南部,M7.3程度,Aランク
0190101,庄内平野東縁断層帯,-,北部,M7.1程度,Zランク
0190102,庄内平野東縁断層帯,-,南部,M6.9程度,S*ランク
0200101,長町-利府線断層帯,-,-,M7.0-7.5程度,Aランク
0210101,福島盆地西縁断層帯,-,-,M7.8程度,Zランク
0220101,長井盆地西縁断層帯,-,-,M7.7程度,Zランク
0230101,双葉断層,-,-,M6.8-7.5程度,Zランク
0240101,会津盆地西縁・東縁断層帯,会津盆地西縁断層帯,-,M7.4程度,Zランク
0240201,会津盆地西縁・東縁断層帯,会津盆地東縁断層帯,-,M7.7程度,Zランク
0250101,櫛形山脈断層帯,-,-,M6.8程度,S*ランク
0260101,月岡断層帯,-,-,M7.3程度,A*ランク
0270101,長岡平野西縁断層帯,-,-,M8.0程度,S*ランク
0290101,鴨川低地断層帯,-,-,概ねM7.2,Xランク
0300101,関谷断層帯,-,-,M7.5程度,Zランク
0310101,深谷断層帯,-,-,M7.9程度,Aランク
0320101,綾瀬川断層,-,鴻巣-伊奈区間,M7.0程度,Zランク
0320102,綾瀬川断層,-,伊奈-川口区間,M7.0程度,Xランク
0340101,立川断層帯,-,-,M7.4程度,A*ランク
0350101,伊勢原断層,-,-,M7.0程度,Zランク
0360101,塩沢断層帯,-,-,M6.8程度以上,Sランク
0360201,平山-松田北断層帯,-,-,M6.8程度,A*ランク
0360301,国府津-松田断層帯,-,-,（分岐断層）,単独で震源断層となることはないと推定
0370101,三浦半島断層群,主部,衣笠・北武断層帯,M6.7程度もしくはそれ以上,S*ランク
0370102,三浦半島断層群,主部,武山断層帯,M6.6程度もしくはそれ以上,S*ランク
0370201,三浦半島断層群,南部,三浦半島断層群南部,M6.1程度以上もしくはそれ以上,Xランク
0380101,北伊豆断層帯,-,-,M7.3程度,Zランク
0390101,十日町断層帯,西部,-,M7.4程度,S*ランク
0390201,十日町断層帯,東部,-,M7.0程度,Aランク
0400101,長野盆地西縁断層帯,飯山-千曲区間,-,M7.4-7.8程度,Zランク
0400102,長野盆地西縁断層帯,麻績区間,-,M6.8程度,Xランク
0420101,糸魚川-静岡構造線断層帯,-,北部,M7.7程度,S*ランク
0420102,糸魚川-静岡構造線断層帯,-,中北部,M7.6程度,S*ランク
0420103,糸魚川-静岡構造線断層帯,-,中南部,M7.4程度,S*ランク
0420104,糸魚川-静岡構造線断層帯,-,南部,M7.6程度,Aランク
0430101,富士川河口断層帯,-,-,M8.0程度(海溝型地震と連動),S*ランク
0450101,木曽山脈西縁断層帯,主部,北部,M7.5程度,Zランク
0450102,木曽山脈西縁断層帯,主部,南部,M6.3程度,S*ランク
0450201,木曽山脈西縁断層帯,清内路峠断層帯,-,M7.4程度,Xランク
0460101,境峠・神谷断層帯,主部,-,M7.6程度,S*ランク
0460201,境峠・神谷断層帯,霧訪山-奈良井断層帯,-,M7.2程度,Xランク
0470101,跡津川断層帯,-,-,M7.9程度,Zランク
0480101,高山・大原断層帯,国府断層帯,-,M7.2程度,S*ランク
0480201,高山・大原断層帯,高山断層帯,-,M7.6程度,Aランク
0480301,高山・大原断層帯,猪ノ鼻断層帯,-,M7.1程度,Xランク
0490101,牛首断層帯,-,-,M7.7程度,Zランク
0500101,庄川断層帯,-,-,M7.9程度,Zランク
0510101,伊那谷断層帯,主部,-,M8.0程度,Zランク
0510201,伊那谷断層帯,南東部,-,M7.3程度,Xランク
0520101,阿寺断層帯,主部,北部,M6.9程度,S*ランク
0520102,阿寺断層帯,主部,南部,M7.8程度,Zランク
0520201,阿寺断層帯,佐見断層帯,-,M7.2程度,Xランク
0520301,阿寺断層帯,白川断層帯,-,M7.3程度,Xランク
0530101,屏風山・恵那山断層帯及び猿投山断層帯,屏風山断層帯,-,M6.8程度,Aランク
0530201,屏風山・恵那山断層帯及び猿投山断層帯,赤河断層帯,-,M7.1程度,Xランク
0530301,屏風山・恵那山断層帯及び猿投山断層帯,恵那山-猿投山北断層帯,-,M7.7程度,A*ランク
0530401,屏風山・恵那山断層帯及び猿投山断層帯,猿投-高浜断層帯,-,M7.7程度,Zランク
0530501,屏風山・恵那山断層帯及び猿投山断層帯,加木屋断層帯,-,M7.4程度,Aランク
0550101,邑知潟断層帯,-,-,M7.6程度,Aランク
0560101,砺波平野断層帯・呉羽山断層帯,砺波平野断層帯西部,-,M7.2程度,A*ランク
0560201,砺波平野断層帯・呉羽山断層帯,砺波平野断層帯東部,-,M7.0程度,S*ランク
0560301,砺波平野断層帯・呉羽山断層帯,呉羽山断層帯,-,M7.2程度,S*ランク
0570101,森本・富樫断層帯,-,-,M7.2程度,S*ランク
0580101,福井平野東縁断層帯,主部,-,M7.6程度,Zランク
0580201,福井平野東縁断層帯,西部,-,M7.1程度,Xランク
0590101,長良川上流断層帯,-,-,M7.3程度,Xランク
0600101,濃尾断層帯,温見断層,北西部,M6.8程度,Zランク
0600102,濃尾断層帯,温見断層,南東部,M7.0程度,Xランク
0600201,濃尾断層帯,主部,根尾谷断層帯,M7.3程度,Zランク
0600202,濃尾断層帯,主部,梅原断層帯,M7.4程度,Zランク
0600203,濃尾断層帯,主部,三田洞断層帯,M7.0程度,Xランク
0600301,濃尾断層帯,揖斐川断層帯,-,M7.1程度,Xランク
0600401,濃尾断層帯,武儀川断層,-,M7.3程度,Xランク
0610101,柳ヶ瀬・関ヶ原断層帯,主部,北部,M7.6程度,Zランク
0610102,柳ヶ瀬・関ヶ原断層帯,主部,中部,M6.6程度,Xランク
0610103,柳ヶ瀬・関ヶ原断層帯,主部,南部,M7.6程度,Xランク
0610201,柳ヶ瀬・関ヶ原断層帯,浦底-柳ヶ瀬山断層帯,-,M7.2程度,Xランク
0630101,野坂・集福寺断層帯,野坂断層帯,-,M7.3程度,Zランク
0630201,野坂・集福寺断層帯,集福寺断層,-,M6.5程度,Xランク
0640101,湖北山地断層帯,北西部,-,M7.2程度,Zランク
0640201,湖北山地断層帯,南東部,-,M6.8程度,Zランク
0650101,琵琶湖西岸断層帯,-,北部,M7.1程度,Sランク
